id,name_ko,name_en,side,faction,role,weapon,base,sheet,file
barrow_wight,고분 망령,Barrow-wight,evil,angmar,hero,sword,M,roster-monsters-v1.png,tokens/barrow_wight.png
moria_goblin,모리아 고블린,Moria Goblin,evil,moria,infantry,sword,S,roster-monsters-v1.png,tokens/moria_goblin.png
uruk_berserker,우르크 광전사,Uruk-hai Berserker,evil,isengard,infantry,twohanded,M,roster-monsters-v1.png,tokens/uruk_berserker.png
sauron,사우론,Sauron,evil,mordor,hero,mace,XXL,roster-sauron-nazgul-v1.png,tokens/sauron.png
nazgul_sword_2,나즈굴(검·B),"Nazgul, sword (v2)",evil,angmar,hero,sword,L,roster-sauron-nazgul-v1.png,tokens/nazgul_sword_2.png
nazgul_mace,나즈굴(철퇴),"Nazgul, mace",evil,angmar,hero,mace,L,roster-sauron-nazgul-v1.png,tokens/nazgul_mace.png
nazgul_mounted,나즈굴(기마),Nazgul mounted,evil,angmar,cavalry,sword,XL,roster-sauron-nazgul-v1.png,tokens/nazgul_mounted.png
morgul_knight,모르굴 기사,Morgul Knight,evil,mordor,cavalry,lance,XL,roster-sauron-nazgul-v1.png,tokens/morgul_knight.png
dwimmerlaik,드위머레이크(갑옷 나즈굴),Dwimmerlaik,evil,angmar,hero,mace,L,roster-sauron-nazgul-v1.png,tokens/dwimmerlaik.png
mt_swordshield,미나스 티리스 검방,MT sword & shield,good,gondor,infantry,sword_shield,M,roster-minastirith-variants-v1.png,tokens/mt_swordshield.png
mt_spear,미나스 티리스 창병,MT spear,good,gondor,infantry,spear,M,roster-minastirith-variants-v1.png,tokens/mt_spear.png
mt_spearshield,미나스 티리스 창방,MT spear & shield,good,gondor,infantry,spear_shield,M,roster-minastirith-variants-v1.png,tokens/mt_spearshield.png
mt_bowman,미나스 티리스 궁수,MT bowman,good,gondor,infantry,bow,M,roster-minastirith-variants-v1.png,tokens/mt_bowman.png
mt_banner,미나스 티리스 기수,MT banner bearer,good,gondor,support,banner,M,roster-minastirith-variants-v1.png,tokens/mt_banner.png
mt_fountain_guard,샘물수위병,Fountain Court Guard,good,gondor,infantry,spear_shield,M,roster-minastirith-variants-v1.png,tokens/mt_fountain_guard.png
orc_sword2,오크(검),"Orc, sword",evil,mordor,infantry,sword,S,roster-orc-variants-v1.png,tokens/orc_sword2.png
orc_swordshield,오크(검방),"Orc, sword & shield",evil,mordor,infantry,sword_shield,S,roster-orc-variants-v1.png,tokens/orc_swordshield.png
orc_spear2,오크(창),"Orc, spear",evil,mordor,infantry,spear,S,roster-orc-variants-v1.png,tokens/orc_spear2.png
orc_twohanded,오크(양손도끼),"Orc, two-handed axe",evil,mordor,infantry,twohanded,S,roster-orc-variants-v1.png,tokens/orc_twohanded.png
orc_bow,오크(활),"Orc, bow",evil,mordor,infantry,bow,S,roster-orc-variants-v1.png,tokens/orc_bow.png
orc_drummer,오크 전쟁북,Orc war drummer,evil,mordor,support,drum,S,roster-orc-variants-v1.png,tokens/orc_drummer.png
dwarf_axeshield,드워프 도끼방,"Dwarf, axe & shield",good,dwarf,infantry,axe,M,roster-dwarf-variants-v1.png,tokens/dwarf_axeshield.png
dwarf_2haxe,드워프 양손도끼,"Dwarf, two-handed axe",good,dwarf,infantry,twohanded,M,roster-dwarf-variants-v1.png,tokens/dwarf_2haxe.png
dwarf_ranger,드워프 레인저,Dwarf Ranger,good,dwarf,infantry,bow,M,roster-dwarf-variants-v1.png,tokens/dwarf_ranger.png
khazad_guard,카자드 근위병,Khazad Guard,good,dwarf,infantry,axe,M,roster-dwarf-variants-v1.png,tokens/khazad_guard.png
iron_guard,아이언 가드,Iron Guard,good,dwarf,infantry,sword_shield,M,roster-dwarf-variants-v1.png,tokens/iron_guard.png
dwarf_banner,드워프 기수,Dwarf banner bearer,good,dwarf,support,banner,M,roster-dwarf-variants-v1.png,tokens/dwarf_banner.png
elf_swordshield,엘프 검방,"Elf, sword & shield",good,elf,infantry,sword_shield,M,roster-elf-variants-v1.png,tokens/elf_swordshield.png
elf_spear,엘프 창병,"Elf, spear",good,elf,infantry,spear,M,roster-elf-variants-v1.png,tokens/elf_spear.png
elf_bow,엘프 궁수,"Elf, bow",good,elf,infantry,bow,M,roster-elf-variants-v1.png,tokens/elf_bow.png
elf_glaive,엘프 글레이브,"Elf, glaive",good,elf,infantry,twohanded,M,roster-elf-variants-v1.png,tokens/elf_glaive.png
galadhrim_warrior,갈라드림 전사,Galadhrim Warrior,good,lothlorien,infantry,sword,M,roster-elf-variants-v1.png,tokens/galadhrim_warrior.png
elf_knight,엘프 기마기사,Elf Knight,good,rivendell,cavalry,lance,XL,roster-elf-variants-v1.png,tokens/elf_knight.png
uruk_swordshield2,우르크하이 검방,"Uruk-hai, sword & shield",evil,isengard,infantry,sword_shield,M,roster-uruk-variants-v1.png,tokens/uruk_swordshield2.png
uruk_pike,우르크하이 파이크,"Uruk-hai, pike",evil,isengard,infantry,pike,M,roster-uruk-variants-v1.png,tokens/uruk_pike.png
uruk_crossbow,우르크하이 석궁,"Uruk-hai, crossbow",evil,isengard,infantry,crossbow,M,roster-uruk-variants-v1.png,tokens/uruk_crossbow.png
uruk_scout,우르크하이 스카웃,Uruk-hai Scout,evil,isengard,infantry,sword,M,roster-uruk-variants-v1.png,tokens/uruk_scout.png
uruk_berserker2,우르크하이 광전사,Uruk-hai Berserker,evil,isengard,infantry,twohanded,M,roster-uruk-variants-v1.png,tokens/uruk_berserker2.png
uruk_banner,우르크하이 기수,Uruk-hai banner bearer,evil,isengard,support,banner,M,roster-uruk-variants-v1.png,tokens/uruk_banner.png
haradrim_spear,하라드림 창병,Haradrim spearman,evil,harad,infantry,spear,M,roster-haradrim-easterling-v1.png,tokens/haradrim_spear.png
haradrim_bow,하라드림 궁수,Haradrim archer,evil,harad,infantry,bow,M,roster-haradrim-easterling-v1.png,tokens/haradrim_bow.png
haradrim_priest,하라드림 전사제,Haradrim warrior priest,evil,harad,support,staff,M,roster-haradrim-easterling-v1.png,tokens/haradrim_priest.png
easterling_phalanx,이스터링 방진병,Easterling phalangite,evil,easterling,infantry,pike,M,roster-haradrim-easterling-v1.png,tokens/easterling_phalanx.png
easterling_swordshield,이스터링 검방,"Easterling, sword & shield",evil,easterling,infantry,sword_shield,M,roster-haradrim-easterling-v1.png,tokens/easterling_swordshield.png
easterling_kataphrakt,이스터링 중기병,Easterling Kataphrakt,evil,easterling,cavalry,lance,XL,roster-haradrim-easterling-v1.png,tokens/easterling_kataphrakt.png
dol_amroth_knight,돌 암로스 백조기사,Knight of Dol Amroth,good,gondor,cavalry,lance,XL,roster-gondor-exp-v1.png,tokens/dol_amroth_knight.png
gondor_knight,곤도르 기병,Knight of Minas Tirith,good,gondor,cavalry,lance,XL,roster-gondor-exp-v1.png,tokens/gondor_knight.png
osgiliath_veteran,오스길리아스 베테랑,Osgiliath Veteran,good,gondor,infantry,sword_shield,M,roster-gondor-exp-v1.png,tokens/osgiliath_veteran.png
lossarnach_axeman,로사르나흐 도끼병,Lossarnach Axeman,good,gondor,infantry,twohanded,M,roster-gondor-exp-v1.png,tokens/lossarnach_axeman.png
citadel_guard,성채근위병,Citadel Guard,good,gondor,infantry,spear_shield,M,roster-gondor-exp-v1.png,tokens/citadel_guard.png
pelennor_militia,펠렌노르 민병,Pelennor Militia,good,gondor,infantry,spear,M,roster-gondor-exp-v1.png,tokens/pelennor_militia.png
rohan_swordshield,로한 검방,"Rohan, sword & shield",good,rohan,infantry,sword_shield,M,roster-rohan-exp-v1.png,tokens/rohan_swordshield.png
rohan_spear,로한 창병,"Rohan, spear",good,rohan,infantry,spear,M,roster-rohan-exp-v1.png,tokens/rohan_spear.png
rohan_archer,로한 궁수,Rohan archer,good,rohan,infantry,bow,M,roster-rohan-exp-v1.png,tokens/rohan_archer.png
eomer,에오메르(기마),Eomer mounted,good,rohan,hero,sword,XL,roster-rohan-exp-v1.png,tokens/eomer.png
rohan_outrider,로한 기마궁수,Rohan outrider,good,rohan,cavalry,bow,XL,roster-rohan-exp-v1.png,tokens/rohan_outrider.png
rohan_banner,로한 기수,Rohan banner bearer,good,rohan,support,banner,M,roster-rohan-exp-v1.png,tokens/rohan_banner.png
black_numenorean,검은 누메노르인(도보),Black Numenorean on foot,evil,mordor,infantry,sword_shield,M,roster-mordor-elite-v1.png,tokens/black_numenorean.png
black_numenorean_mounted,검은 누메노르인(기마),Black Numenorean mounted,evil,mordor,cavalry,lance,XL,roster-mordor-elite-v1.png,tokens/black_numenorean_mounted.png
orc_tracker,오크 추적자,Orc Tracker,evil,mordor,infantry,twohanded,S,roster-mordor-elite-v1.png,tokens/orc_tracker.png
war_troll,전쟁 트롤,Mordor War Troll,evil,mordor,monster,club,XXL,roster-mordor-elite-v1.png,tokens/war_troll.png
black_guard,바라드두르 흑근위,Black Guard of Barad-dur,evil,mordor,infantry,spear_shield,M,roster-mordor-elite-v1.png,tokens/black_guard.png
orc_taskmaster,오크 두목,Orc Taskmaster,evil,mordor,support,whip,M,roster-mordor-elite-v1.png,tokens/orc_taskmaster.png
goblin_spear,고블린 창병,"Goblin, spear",evil,moria,infantry,spear,S,roster-goblin-v1.png,tokens/goblin_spear.png
goblin_shield,고블린 방패병,"Goblin, shield",evil,moria,infantry,sword_shield,S,roster-goblin-v1.png,tokens/goblin_shield.png
goblin_bow,고블린 궁수,"Goblin, bow",evil,moria,infantry,bow,S,roster-goblin-v1.png,tokens/goblin_bow.png
goblin_prowler,고블린 프라울러,Goblin Prowler,evil,moria,infantry,dagger,S,roster-goblin-v1.png,tokens/goblin_prowler.png
goblin_king,고블린 왕,Goblin King,evil,moria,hero,club,L,roster-goblin-v1.png,tokens/goblin_king.png
goblin_shaman,고블린 샤먼,Goblin Shaman,evil,moria,support,staff,S,roster-goblin-v1.png,tokens/goblin_shaman.png
dunlending_warrior,던랜딩 전사,Dunlending Warrior,evil,dunland,infantry,sword,M,roster-isengard-exp-v1.png,tokens/dunlending_warrior.png
dunlending_huscarl,던랜딩 허스칼,Dunlending Huscarl,evil,dunland,infantry,twohanded,M,roster-isengard-exp-v1.png,tokens/dunlending_huscarl.png
warg,야생 와르그,Wild Warg,evil,isengard,monster,none,M,roster-isengard-exp-v1.png,tokens/warg.png
uruk_sapper,우르크 폭파반,Uruk-hai Demolition Team,evil,isengard,infantry,bomb,M,roster-isengard-exp-v1.png,tokens/uruk_sapper.png
uruk_scout_archer,우르크 스카웃 궁수,Uruk-hai Scout Archer,evil,isengard,infantry,bow,M,roster-isengard-exp-v1.png,tokens/uruk_scout_archer.png
crebain_swarm,크레반 까마귀 떼,Crebain swarm,evil,isengard,support,none,M,roster-isengard-exp-v1.png,tokens/crebain_swarm.png
hobbit_shirriff,호빗 민병,Hobbit Shirriff,good,shire,infantry,pitchfork,S,roster-free-special-v1.png,tokens/hobbit_shirriff.png
hobbit_bounder,호빗 궁수,Hobbit Bounder,good,shire,infantry,bow,S,roster-free-special-v1.png,tokens/hobbit_bounder.png
great_eagle,대독수리,Great Eagle,good,eagle,monster,none,XL,roster-free-special-v1.png,tokens/great_eagle.png
ent,엔트,Ent,good,ent,monster,none,XXL,roster-free-special-v1.png,tokens/ent.png
beorning,베오르닝 전사,Beorning,good,beorning,hero,axe,L,roster-free-special-v1.png,tokens/beorning.png
ranger_north,북부 레인저,Ranger of the North,good,arnor,infantry,sword,M,roster-free-special-v1.png,tokens/ranger_north.png
theoden,세오덴(기마),Theoden mounted,good,rohan,cavalry,sword_shield,XL,roster-free-heroes-exp-v1.png,tokens/theoden.png
faramir,파라미르,Faramir,good,gondor,hero,bow,M,roster-free-heroes-exp-v1.png,tokens/faramir.png
haldir,할디르,Haldir,good,lothlorien,hero,twohanded,M,roster-free-heroes-exp-v1.png,tokens/haldir.png
galadriel,갈라드리엘,Galadriel,good,lothlorien,hero,none,M,roster-free-heroes-exp-v1.png,tokens/galadriel.png
gamling,감링(기수),Gamling with banner,good,rohan,hero,banner,M,roster-free-heroes-exp-v1.png,tokens/gamling.png
samwise,샘와이즈,Samwise Gamgee,good,shire,hero,dagger,S,roster-free-heroes-exp-v1.png,tokens/samwise.png
mouth_of_sauron,사우론의 입(기마),Mouth of Sauron,evil,mordor,cavalry,sword,XL,roster-evil-heroes-exp-v1.png,tokens/mouth_of_sauron.png
gothmog,고스모그,Gothmog,evil,mordor,hero,mace,L,roster-evil-heroes-exp-v1.png,tokens/gothmog.png
lurtz,루르츠,Lurtz,evil,isengard,hero,bow,M,roster-evil-heroes-exp-v1.png,tokens/lurtz.png
sharku,샤르쿠(와르그),Sharku on warg,evil,isengard,cavalry,spear,XL,roster-evil-heroes-exp-v1.png,tokens/sharku.png
grima,그리마 웜텅,Grima Wormtongue,evil,isengard,hero,dagger,M,roster-evil-heroes-exp-v1.png,tokens/grima.png
khamul,카물,Khamul the Easterling,evil,angmar,hero,mace,L,roster-evil-heroes-exp-v1.png,tokens/khamul.png
fingolfin,핑골핀,Fingolfin,good,elf,hero,sword,L,roster-legends-good-v1.png,tokens/fingolfin.png
imrahil,임라힐,Imrahil,good,gondor,hero,lance,M,roster-legends-good-v1.png,tokens/imrahil.png
merry,메리아독,Meriadoc Brandybuck,good,shire,hero,dagger,S,roster-legends-good-v1.png,tokens/merry.png
pippin,피핀,Peregrin Took,good,shire,hero,dagger,S,roster-legends-good-v1.png,tokens/pippin.png
beorn,베오른,Beorn,good,beorning,hero,twohanded,L,roster-legends-good-v1.png,tokens/beorn.png
elendil,엘렌딜,Elendil,good,arnor,hero,sword,L,roster-legends-good-v1.png,tokens/elendil.png
melkor,멜코르,Melkor (Morgoth),evil,angband,monster,mace,XXL,roster-legends-evil-v1.png,tokens/melkor.png
mumakil,무마킬,War Mumak,evil,harad,monster,none,XXL,roster-legends-evil-v1.png,tokens/mumakil.png
smaug,스마우그,Smaug,evil,erebor,monster,none,XXL,roster-legends-evil-v1.png,tokens/smaug.png
ungoliant,웅골리안트,Ungoliant,evil,angband,monster,none,XXL,roster-legends-evil-v1.png,tokens/ungoliant.png
bolg,볼그,Bolg,evil,gundabad,hero,mace,L,roster-legends-evil-v1.png,tokens/bolg.png
easterling_warlord,이스터링 장군,Easterling Warlord,evil,easterling,hero,pike,,roster-legends-evil-v1.png,tokens/easterling_warlord.png
radagast,라다가스트,Radagast the Brown,good,maiar,hero,staff,M,roster-legends-good-v2.png,tokens/radagast.png
thranduil,트란두일,Thranduil,good,elf,hero,sword,L,roster-legends-good-v2.png,tokens/thranduil.png
celeborn,켈레보른,Celeborn,good,lothlorien,hero,spear,M,roster-legends-good-v2.png,tokens/celeborn.png
bilbo,빌보,Bilbo Baggins,good,shire,hero,dagger,S,roster-legends-good-v2.png,tokens/bilbo.png
king_of_the_dead,망자의 왕,King of the Dead,good,dead,hero,sword,L,roster-legends-good-v2.png,tokens/king_of_the_dead.png
dead_soldier,망자 병사,Soldier of the Dead,good,dead,infantry,spear,M,roster-legends-good-v2.png,tokens/dead_soldier.png
olog_hai,올로그하이,Olog-hai,evil,mordor,monster,mace,XXL,roster-legends-evil-v2.png,tokens/olog_hai.png
watcher_in_the_water,물 속의 감시자,Watcher in the Water,evil,moria,monster,none,XXL,roster-legends-evil-v2.png,tokens/watcher_in_the_water.png
mirkwood_spider,미르크우드 거미,Mirkwood Spider,evil,dol_guldur,monster,none,L,roster-legends-evil-v2.png,tokens/mirkwood_spider.png
harad_chieftain,하라드 족장,Haradrim Chieftain,evil,harad,hero,sword,,roster-legends-evil-v2.png,tokens/harad_chieftain.png
uruk_captain,우룩하이 대장,Uruk-hai Captain,evil,isengard,hero,sword_shield,L,roster-legends-evil-v2.png,tokens/uruk_captain.png
hill_troll,언덕 트롤,Hill Troll,evil,angmar,monster,club,XL,roster-legends-evil-v2.png,tokens/hill_troll.png
feanor,페아노르,Feanor,good,elf,hero,sword,L,roster-silmarillion-good-v1.png,tokens/feanor.png
luthien,루시엔,Luthien,good,doriath,hero,staff,M,roster-silmarillion-good-v1.png,tokens/luthien.png
beren,베렌,Beren,good,men,hero,sword,M,roster-silmarillion-good-v1.png,tokens/beren.png
turin,투린,Turin Turambar,good,men,hero,sword,L,roster-silmarillion-good-v1.png,tokens/turin.png
beleg,벨레그,Beleg Strongbow,good,doriath,hero,bow,M,roster-silmarillion-good-v1.png,tokens/beleg.png
huan,훈,Huan the Hound,good,valinor,beast,none,L,roster-silmarillion-good-v1.png,tokens/huan.png
glaurung,글라우룽,Glaurung,evil,angband,monster,none,XXL,roster-silmarillion-evil-v1.png,tokens/glaurung.png
carcharoth,카르하로스,Carcharoth,evil,angband,monster,none,L,roster-silmarillion-evil-v1.png,tokens/carcharoth.png
gothmog_balrog,고스모그(발록 군주),"Gothmog, Lord of Balrogs",evil,angband,monster,whip,XXL,roster-silmarillion-evil-v1.png,tokens/gothmog_balrog.png
draugluin,드라우글루인,Draugluin,evil,angband,monster,none,L,roster-silmarillion-evil-v1.png,tokens/draugluin.png
thuringwethil,수링웨실,Thuringwethil,evil,angband,monster,none,L,roster-silmarillion-evil-v1.png,tokens/thuringwethil.png
boldog,볼독,Boldog,evil,angband,hero,sword,L,roster-silmarillion-evil-v1.png,tokens/boldog.png
thorin,토린 오큰실드,Thorin Oakenshield,good,dwarf,hero,sword,L,roster-hobbit-good-v1.png,tokens/thorin.png
tauriel,타우리엘,Tauriel,good,elf,hero,dagger,M,roster-hobbit-good-v1.png,tokens/tauriel.png
bard,바드,Bard the Bowman,good,men,hero,bow,M,roster-hobbit-good-v1.png,tokens/bard.png
dain,데인,Dain Ironfoot,good,dwarf,hero,mace,L,roster-hobbit-good-v1.png,tokens/dain.png
fili,필리,Fili,good,dwarf,hero,sword,M,roster-hobbit-good-v1.png,tokens/fili.png
kili,킬리,Kili,good,dwarf,hero,bow,M,roster-hobbit-good-v1.png,tokens/kili.png
azog,아조그,Azog the Defiler,evil,gundabad,hero,mace,L,roster-hobbit-evil-v1.png,tokens/azog.png
azog_warg_rider,아조그(흰 와르그),Azog on white warg,evil,gundabad,cavalry,mace,XL,roster-hobbit-evil-v1.png,tokens/azog_warg_rider.png
necromancer,네크로맨서,The Necromancer,evil,dol_guldur,hero,staff,L,roster-hobbit-evil-v1.png,tokens/necromancer.png
hunter_orc,헌터 오크,Hunter Orc,evil,gundabad,infantry,bow,,roster-hobbit-evil-v1.png,tokens/hunter_orc.png
gundabad_orc,군다바드 오크,Gundabad Orc,evil,gundabad,infantry,sword_shield,,roster-hobbit-evil-v1.png,tokens/gundabad_orc.png
goblin_mercenary,고블린 용병,Goblin Mercenary,evil,moria,infantry,club,,roster-hobbit-evil-v1.png,tokens/goblin_mercenary.png
halbarad,할바라드,Halbarad,good,arnor,hero,banner,L,roster-exp-good-v1.png,tokens/halbarad.png
beregond,베레곤드,Beregond,good,gondor,hero,sword_shield,M,roster-exp-good-v1.png,tokens/beregond.png
elladan,엘라단,Elladan,good,rivendell,hero,sword,M,roster-exp-good-v1.png,tokens/elladan.png
elrohir,엘로히르,Elrohir,good,rivendell,hero,spear,M,roster-exp-good-v1.png,tokens/elrohir.png
grimbeorn,그림베오른,Grimbeorn,good,beorning,hero,axe,L,roster-exp-good-v1.png,tokens/grimbeorn.png
ghan_buri_ghan,간부리간,Ghan-buri-Ghan,good,men,infantry,bow,S,roster-exp-good-v1.png,tokens/ghan_buri_ghan.png
suladan,술라단,Suladan the Serpent Lord,evil,harad,hero,spear,L,roster-exp-evil-v1.png,tokens/suladan.png
corsair_umbra,움바르 해적,Corsair of Umbar,evil,harad,infantry,sword,,roster-exp-evil-v1.png,tokens/corsair_umbra.png
variag_horseman,바리악 기수,Variag Horseman,evil,rhun,cavalry,spear,XL,roster-exp-evil-v1.png,tokens/variag_horseman.png
shagrat,샤그랏,Shagrat,evil,mordor,hero,sword_shield,L,roster-exp-evil-v1.png,tokens/shagrat.png
gorbag,고르바그,Gorbag,evil,mordor,hero,sword,,roster-exp-evil-v1.png,tokens/gorbag.png
warg_alpha,와르그 우두머리,Warg Alpha,evil,isengard,beast,none,XL,roster-exp-evil-v1.png,tokens/warg_alpha.png
balin,발린,Balin,good,dwarf,hero,sword,M,roster-hobbit-company-v1.png,tokens/balin.png
dwalin,드왈린,Dwalin,good,dwarf,hero,axe,M,roster-hobbit-company-v1.png,tokens/dwalin.png
gloin,글로인,Gloin,good,dwarf,infantry,axe,M,roster-hobbit-company-v1.png,tokens/gloin.png
oin,오인,Oin,good,dwarf,infantry,club,M,roster-hobbit-company-v1.png,tokens/oin.png
nori,노리,Nori,good,dwarf,infantry,sword,M,roster-hobbit-company-v1.png,tokens/nori.png
ori,오리,Ori,good,dwarf,infantry,sword,M,roster-hobbit-company-v1.png,tokens/ori.png
dori,도리,Dori,good,dwarf,infantry,sword,M,roster-hobbit-exp-v1.png,tokens/dori.png
bifur,비푸르,Bifur,good,dwarf,infantry,spear,M,roster-hobbit-exp-v1.png,tokens/bifur.png
bofur,보푸르,Bofur,good,dwarf,infantry,club,M,roster-hobbit-exp-v1.png,tokens/bofur.png
bombur,봄부르,Bombur,good,dwarf,infantry,club,M,roster-hobbit-exp-v1.png,tokens/bombur.png
goat_rider,산양 기수,Iron Hills Goat Rider,good,dwarf,cavalry,lance,XL,roster-hobbit-exp-v1.png,tokens/goat_rider.png
gollum,골룸,Gollum,evil,moria,beast,none,M,roster-hobbit-exp-v1.png,tokens/gollum.png
gil_galad,길갈라드,Gil-galad,good,elf,hero,spear,L,roster-elf-exp-v1.png,tokens/gil_galad.png
cirdan,키르단,Cirdan the Shipwright,good,elf,hero,sword,L,roster-elf-exp-v1.png,tokens/cirdan.png
arwen,아르웬,Arwen,good,rivendell,hero,dagger,M,roster-elf-exp-v1.png,tokens/arwen.png
lindir,린디르,Lindir,good,rivendell,hero,sword,M,roster-elf-exp-v1.png,tokens/lindir.png
erestor,에레스토르,Erestor,good,rivendell,hero,sword,M,roster-elf-exp-v1.png,tokens/erestor.png
elf_seer,엘프 선견자,Elf Seer,good,lothlorien,support,staff,M,roster-elf-exp-v1.png,tokens/elf_seer.png
rumil,루밀,Rumil,good,lothlorien,infantry,bow,M,roster-elf-exp-v2.png,tokens/rumil.png
orophin,오로핀,Orophin,good,lothlorien,infantry,spear,M,roster-elf-exp-v2.png,tokens/orophin.png
mirkwood_sentinel,미르크우드 보초,Mirkwood Sentinel,good,elf,infantry,pike,M,roster-elf-exp-v2.png,tokens/mirkwood_sentinel.png
noldor_warrior,놀도르 정예병,Noldor Warrior,good,elf,infantry,sword_shield,L,roster-elf-exp-v2.png,tokens/noldor_warrior.png
silvan_archer,실반 궁수,Silvan Archer,good,elf,infantry,bow,M,roster-elf-exp-v2.png,tokens/silvan_archer.png
elven_lancer,엘프 기창기병,Elven Lancer,good,rivendell,cavalry,lance,XL,roster-elf-exp-v2.png,tokens/elven_lancer.png
